user_id,cohort,age_band,sex,device,vehicle,last_active_day,day,is_promo_day,page_views,major_page_type,engagement_time,drive
5,G1 flat usage,50+,Female,OS X,Luxury,17,27,0,,,,
5,G1 flat usage,50+,Female,OS X,Luxury,17,28,0,,,,
6,G1 flat usage,26-34,Male,Android,Standard,23,1,0,4,Services,3,0
6,G1 flat usage,26-34,Male,Android,Standard,23,2,0,2,Services,1,0
6,G1 flat usage,26-34,Male,Android,Standard,23,3,0,3,Promotions,3,0
6,G1 flat usage,26-34,Male,Android,Standard,23,4,0,4,Promotions,3,1
6,G1 flat usage,26-34,Male,Android,Standard,23,5,1,4,Maintenance,3,1
6,G1 flat usage,26-34,Male,Android,Standard,23,6,0,3,Services,3,0
6,G1 flat usage,26-34,Male,Android,Standard,23,7,0,3,Maintenance,2,1
6,G1 flat usage,26-34,Male,Android,Standard,23,8,0,4,Maintenance,3,1
6,G1 flat usage,26-34,Male,Android,Standard,23,9,0,2,Promotions,2,0
6,G1 flat usage,26-34,Male,Android,Standard,23,10,0,3,Services,2,1
6,G1 flat usage,26-34,Male,Android,Standard,23,11,0,3,Maintenance,3,1
6,G1 flat usage,26-34,Male,Android,Standard,23,12,1,3,Maintenance,2,1
6,G1 flat usage,26-34,Male,Android,Standard,23,13,0,3,Promotions,2,1
6,G1 flat usage,26-34,Male,Android,Standard,23,14,0,2,Services,1,0
6,G1 flat usage,26-34,Male,Android,Standard,23,15,0,3,Maintenance,3,0
6,G1 flat usage,26-34,Male,Android,Standard,23,16,0,3,Maintenance,3,0
6,G1 flat usage,26-34,Male,Android,Standard,23,17,0,4,Services,3,1
6,G1 flat usage,26-34,Male,Android,Standard,23,18,0,2,Maintenance,2,0
6,G1 flat usage,26-34,Male,Android,Standard,23,19,1,4,Promotions,3,1
6,G1 flat usage,26-34,Male,Android,Standard,23,20,0,2,Promotions,1,0
6,G1 flat usage,26-34,Male,Android,Standard,23,21,0,4,Promotions,4,0
6,G1 flat usage,26-34,Male,Android,Standard,23,22,0,2,Maintenance,2,0
6,G1 flat usage,26-34,Male,Android,Standard,23,23,0,4,Services,3,1
6,G1 flat usage,26-34,Male,Android,Standard,23,24,0,,,,
6,G1 flat usage,26-34,Male,Android,Standard,23,25,0,,,,
6,G1 flat usage,26-34,Male,Android,Standard,23,26,1,,,,
6,G1 flat usage,26-34,Male,Android,Standard,23,27,0,,,,
6,G1 flat usage,26-34,Male,Android,Standard,23,28,0,,,,
7,G1 flat usage,26-34,Female,Android,Standard,28,1,0,3,Services,3,0
7,G1 flat usage,26-34,Female,Android,Standard,28,2,0,3,Services,2,0
7,G1 flat usage,26-34,Female,Android,Standard,28,3,0,3,Promotions,3,1
7,G1 flat usage,26-34,Female,Android,Standard,28,4,0,4,Services,3,0
7,G1 flat usage,26-34,Female,Android,Standard,28,5,1,4,Services,4,1
7,G1 flat usage,26-34,Female,Android,Standard,28,6,0,2,Promotions,2,0
7,G1 flat usage,26-34,Female,Android,Standard,28,7,0,3,Maintenance,3,1
7,G1 flat usage,26-34,Female,Android,Standard,28,8,0,3,Promotions,2,0
7,G1 flat usage,26-34,Female,Android,Standard,28,9,0,3,Promotions,2,1
7,G1 flat usage,26-34,Female,Android,Standard,28,10,0,4,Promotions,4,0
7,G1 flat usage,26-34,Female,Android,Standard,28,11,0,3,Promotions,2,1
7,G1 flat usage,26-34,Female,Android,Standard,28,12,1,3,Promotions,3,0
7,G1 flat usage,26-34,Female,Android,Standard,28,13,0,4,Maintenance,3,0
7,G1 flat usage,26-34,Female,Android,Standard,28,14,0,3,Services,3,0
7,G1 flat usage,26-34,Female,Android,Standard,28,15,0,3,Services,2,1
7,G1 flat usage,26-34,Female,Android,Standard,28,16,0,3,Promotions,2,1
7,G1 flat usage,26-34,Female,Android,Standard,28,17,0,3,Services,2,0
7,G1 flat usage,26-34,Female,Android,Standard,28,18,0,3,Maintenance,3,1
7,G1 flat usage,26-34,Female,Android,Standard,28,19,1,3,Services,3,1
7,G1 flat usage,26-34,Female,Android,Standard,28,20,0,3,Services,3,1
7,G1 flat usage,26-34,Female,Android,Standard,28,21,0,3,Services,3,1
7,G1 flat usage,26-34,Female,Android,Standard,28,22,0,2,Maintenance,1,1
7,G1 flat usage,26-34,Female,Android,Standard,28,23,0,3,Services,2,1
7,G1 flat usage,26-34,Female,Android,Standard,28,24,0,4,Services,4,1
7,G1 flat usage,26-34,Female,Android,Standard,28,25,0,4,Promotions,3,0
7,G1 flat usage,26-34,Female,Android,Standard,28,26,1,3,Services,2,1
7,G1 flat usage,26-34,Female,Android,Standard,28,27,0,4,Services,4,1
7,G1 flat usage,26-34,Female,Android,Standard,28,28,0,3,Promotions,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,1,0,3,Services,2,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,2,0,3,Services,3,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,3,0,3,Promotions,2,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,4,0,3,Services,2,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,5,1,3,Maintenance,2,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,6,0,3,Services,3,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,7,0,3,Services,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,8,0,3,Promotions,3,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,9,0,3,Services,2,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,10,0,2,Promotions,1,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,11,0,2,Promotions,1,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,12,1,4,Services,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,13,0,3,Services,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,14,0,3,Maintenance,2,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,15,0,3,Promotions,2,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,16,0,3,Maintenance,3,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,17,0,2,Services,2,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,18,0,3,Promotions,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,19,1,2,Services,2,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,20,0,4,Maintenance,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,21,0,3,Promotions,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,22,0,3,Maintenance,2,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,23,0,3,Maintenance,3,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,24,0,4,Services,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,25,0,3,Services,2,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,26,1,3,Maintenance,3,1
8,G1 flat usage,35-50,Female,Android,Luxury,28,27,0,4,Services,4,0
8,G1 flat usage,35-50,Female,Android,Luxury,28,28,0,4,Promotions,3,1
9,G1 flat usage,50+,Female,OS X,Luxury,13,1,0,2,Promotions,1,0
9,G1 flat usage,50+,Female,OS X,Luxury,13,2,0,3,Services,3,1
9,G1 flat usage,50+,Female,OS X,Luxury,13,3,0,2,Promotions,2,0
9,G1 flat usage,50+,Female,OS X,Luxury,13,4,0,3,Maintenance,2,0
9,G1 flat usage,50+,Female,OS X,Luxury,13,5,1,4,Services,4,1
9,G1 flat usage,50+,Female,OS X,Luxury,13,6,0,3,Promotions,3,1
9,G1 flat usage,50+,Female,OS X,Luxury,13,7,0,3,Services,2,1
9,G1 flat usage,50+,Female,OS X,Luxury,13,8,0,3,Promotions,3,0
9,G1 flat usage,50+,Female,OS X,Luxury,13,9,0,3,Services,3,0
9,G1 flat usage,50+,Female,OS X,Luxury,13,10,0,4,Services,3,1
9,G1 flat usage,50+,Female,OS X,Luxury,13,11,0,2,Maintenance,2,1
9,G1 flat usage,50+,Female,OS X,Luxury,13,12,1,3,Promotions,2,1
9,G1 flat usage,50+,Female,OS X,Luxury,13,13,0,4,Services,3,0
9,G1 flat usage,50+,Female,OS X,Luxury,13,14,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,15,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,16,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,17,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,18,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,19,1,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,20,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,21,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,22,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,23,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,24,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,25,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,26,1,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,27,0,,,,
9,G1 flat usage,50+,Female,OS X,Luxury,13,28,0,,,,
10,G1 flat usage,50+,Female,OS X,Luxury,28,1,0,2,Promotions,2,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,2,0,2,Maintenance,1,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,3,0,3,Promotions,2,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,4,0,3,Services,3,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,5,1,3,Services,2,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,6,0,4,Maintenance,3,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,7,0,2,Promotions,2,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,8,0,2,Maintenance,1,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,9,0,2,Promotions,2,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,10,0,4,Promotions,4,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,11,0,4,Promotions,3,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,12,1,2,Promotions,2,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,13,0,3,Promotions,2,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,14,0,3,Services,2,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,15,0,3,Services,3,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,16,0,3,Services,3,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,17,0,4,Services,4,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,18,0,3,Maintenance,3,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,19,1,4,Services,4,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,20,0,2,Maintenance,1,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,21,0,3,Services,3,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,22,0,2,Maintenance,2,0
10,G1 flat usage,50+,Female,OS X,Luxury,28,23,0,4,Promotions,4,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,24,0,2,Services,1,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,25,0,3,Maintenance,3,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,26,1,2,Maintenance,1,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,27,0,3,Promotions,3,1
10,G1 flat usage,50+,Female,OS X,Luxury,28,28,0,4,Maintenance,4,1
11,G1 flat usage,26-34,Male,Android,Standard,11,1,0,3,Maintenance,3,1
11,G1 flat usage,26-34,Male,Android,Standard,11,2,0,3,Maintenance,2,1
11,G1 flat usage,26-34,Male,Android,Standard,11,3,0,4,Services,4,0
11,G1 flat usage,26-34,Male,Android,Standard,11,4,0,3,Services,3,1
11,G1 flat usage,26-34,Male,Android,Standard,11,5,1,3,Maintenance,2,1
11,G1 flat usage,26-34,Male,Android,Standard,11,6,0,2,Maintenance,2,0
11,G1 flat usage,26-34,Male,Android,Standard,11,7,0,2,Promotions,2,1
11,G1 flat usage,26-34,Male,Android,Standard,11,8,0,3,Services,3,1
11,G1 flat usage,26-34,Male,Android,Standard,11,9,0,4,Services,3,1
11,G1 flat usage,26-34,Male,Android,Standard,11,10,0,3,Services,2,0
11,G1 flat usage,26-34,Male,Android,Standard,11,11,0,4,Services,4,1
11,G1 flat usage,26-34,Male,Android,Standard,11,12,1,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,13,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,14,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,15,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,16,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,17,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,18,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,19,1,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,20,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,21,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,22,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,23,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,24,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,25,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,26,1,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,27,0,,,,
11,G1 flat usage,26-34,Male,Android,Standard,11,28,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,1,0,3,Services,3,1
12,G1 flat usage,<=25,Female,OS X,Luxury,6,2,0,4,Promotions,4,1
12,G1 flat usage,<=25,Female,OS X,Luxury,6,3,0,4,Maintenance,4,1
12,G1 flat usage,<=25,Female,OS X,Luxury,6,4,0,2,Promotions,1,0
12,G1 flat usage,<=25,Female,OS X,Luxury,6,5,1,2,Maintenance,1,1
12,G1 flat usage,<=25,Female,OS X,Luxury,6,6,0,3,Promotions,2,0
12,G1 flat usage,<=25,Female,OS X,Luxury,6,7,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,8,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,9,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,10,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,11,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,12,1,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,13,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,14,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,15,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,16,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,17,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,18,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,19,1,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,20,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,21,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,22,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,23,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,24,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,25,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,26,1,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,27,0,,,,
12,G1 flat usage,<=25,Female,OS X,Luxury,6,28,0,,,,
13,G1 flat usage,26-34,Male,Android,Luxury,28,1,0,3,Promotions,2,0
13,G1 flat usage,26-34,Male,Android,Luxury,28,2,0,3,Services,2,0
13,G1 flat usage,26-34,Male,Android,Luxury,28,3,0,2,Services,1,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,4,0,4,Maintenance,3,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,5,1,4,Services,3,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,6,0,3,Promotions,3,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,7,0,4,Maintenance,4,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,8,0,3,Services,2,0
13,G1 flat usage,26-34,Male,Android,Luxury,28,9,0,3,Promotions,3,0
13,G1 flat usage,26-34,Male,Android,Luxury,28,10,0,3,Promotions,3,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,11,0,3,Promotions,2,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,12,1,3,Maintenance,3,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,13,0,2,Promotions,2,1
13,G1 flat usage,26-34,Male,Android,Luxury,28,14,0,2,Maintenance,1,0
13,G1 flat usage,26-34,Male,Android,Luxury,28,15,0,3,Maintenance,2,0
13,G1 flat usage,26-34,Male,Android,Luxury,28,16,0,3,Services,3,0
13,G1 flat usage,26-34,Male,Android,Luxury,28,17,0,3,Services,3,0
